source,settlementDate,settlementPeriod,periodStartUTC,systemBuyPriceGBPperMWh,systemSellPriceGBPperMWh,netImbalanceVolumeMWh,fetchedAtUTC
Elexon BMRS System Prices,2023-01-01,1,2023-01-01T00:00:00Z,-8.07,-8.07,-102.66,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,2,2023-01-01T00:30:00Z,200.00,200.00,351.60,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,3,2023-01-01T01:00:00Z,199.00,199.00,13.48,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,4,2023-01-01T01:30:00Z,-17.14,-17.14,-353.67,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,5,2023-01-01T02:00:00Z,-32.61,-32.61,-372.59,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,6,2023-01-01T02:30:00Z,-44.00,-44.00,-687.87,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,7,2023-01-01T03:00:00Z,-44.00,-44.00,-674.16,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,8,2023-01-01T03:30:00Z,-48.04,-48.04,-750.19,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,9,2023-01-01T04:00:00Z,-43.98,-43.98,-533.35,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,10,2023-01-01T04:30:00Z,-17.74,-17.74,-219.69,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,11,2023-01-01T05:00:00Z,-32.61,-32.61,-219.68,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,12,2023-01-01T05:30:00Z,-44.00,-44.00,-474.05,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,13,2023-01-01T06:00:00Z,-43.98,-43.98,-531.75,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,14,2023-01-01T06:30:00Z,-42.91,-42.91,-468.00,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,15,2023-01-01T07:00:00Z,-45.00,-45.00,-417.03,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,16,2023-01-01T07:30:00Z,-43.18,-43.18,-334.81,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,17,2023-01-01T08:00:00Z,-39.70,-39.70,-582.30,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,18,2023-01-01T08:30:00Z,-31.61,-31.61,-205.53,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,19,2023-01-01T09:00:00Z,200.00,200.00,63.35,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,20,2023-01-01T09:30:00Z,200.00,200.00,71.31,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,21,2023-01-01T10:00:00Z,200.00,200.00,236.41,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,22,2023-01-01T10:30:00Z,204.00,204.00,388.72,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,23,2023-01-01T11:00:00Z,200.00,200.00,60.75,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,24,2023-01-01T11:30:00Z,204.00,204.00,125.36,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,25,2023-01-01T12:00:00Z,204.00,204.00,282.14,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,26,2023-01-01T12:30:00Z,202.00,202.00,30.93,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,27,2023-01-01T13:00:00Z,204.00,204.00,22.36,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,28,2023-01-01T13:30:00Z,200.00,200.00,5.34,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,29,2023-01-01T14:00:00Z,202.00,202.00,96.74,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,30,2023-01-01T14:30:00Z,204.50,204.50,74.77,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,31,2023-01-01T15:00:00Z,237.23,237.23,337.15,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,32,2023-01-01T15:30:00Z,265.00,265.00,423.58,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,33,2023-01-01T16:00:00Z,250.00,250.00,319.50,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,34,2023-01-01T16:30:00Z,250.00,250.00,363.22,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,35,2023-01-01T17:00:00Z,265.00,265.00,280.17,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,36,2023-01-01T17:30:00Z,265.00,265.00,297.90,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,37,2023-01-01T18:00:00Z,250.00,250.00,185.84,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,38,2023-01-01T18:30:00Z,50.00,50.00,-29.69,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,39,2023-01-01T19:00:00Z,250.00,250.00,181.84,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,40,2023-01-01T19:30:00Z,250.00,250.00,86.82,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,41,2023-01-01T20:00:00Z,230.00,230.00,118.99,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,42,2023-01-01T20:30:00Z,217.00,217.00,152.51,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,43,2023-01-01T21:00:00Z,230.00,230.00,301.15,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,44,2023-01-01T21:30:00Z,217.00,217.00,133.20,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,45,2023-01-01T22:00:00Z,42.00,42.00,-15.06,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,46,2023-01-01T22:30:00Z,290.00,290.00,149.12,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,47,2023-01-01T23:00:00Z,236.00,236.00,389.17,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-01,48,2023-01-01T23:30:00Z,151.35,151.35,248.10,2026-05-26T02:00:55.061202Z
Elexon BMRS System Prices,2023-01-02,1,2023-01-02T00:00:00Z,172.68,172.68,171.68,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,2,2023-01-02T00:30:00Z,182.34,182.34,9.14,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,3,2023-01-02T01:00:00Z,42.00,42.00,-364.93,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,4,2023-01-02T01:30:00Z,42.00,42.00,-678.60,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,5,2023-01-02T02:00:00Z,42.00,42.00,-578.09,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,6,2023-01-02T02:30:00Z,15.00,15.00,-660.08,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,7,2023-01-02T03:00:00Z,0.00,0.00,-874.57,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,8,2023-01-02T03:30:00Z,-66.55,-66.55,-1267.29,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,9,2023-01-02T04:00:00Z,-95.71,-95.71,-1283.80,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,10,2023-01-02T04:30:00Z,-88.00,-88.00,-1114.60,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,11,2023-01-02T05:00:00Z,-60.00,-60.00,-971.24,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,12,2023-01-02T05:30:00Z,-50.00,-50.00,-775.88,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,13,2023-01-02T06:00:00Z,0.10,0.10,-396.25,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,14,2023-01-02T06:30:00Z,10.00,10.00,-467.31,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,15,2023-01-02T07:00:00Z,10.00,10.00,-690.15,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,16,2023-01-02T07:30:00Z,10.00,10.00,-710.56,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,17,2023-01-02T08:00:00Z,-60.00,-60.00,-556.12,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,18,2023-01-02T08:30:00Z,10.21,10.21,-210.93,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,19,2023-01-02T09:00:00Z,10.21,10.21,-292.04,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,20,2023-01-02T09:30:00Z,10.21,10.21,-194.13,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,21,2023-01-02T10:00:00Z,11.00,11.00,-421.01,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,22,2023-01-02T10:30:00Z,50.00,50.00,-195.81,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,23,2023-01-02T11:00:00Z,15.00,15.00,-90.89,2026-05-26T02:00:55.758694Z
Elexon BMRS System Prices,2023-01-02,24,2023-01-02T11:30:00Z,15.00,15.00,-254.85,2026-05-26T02:00:55.758694Z
