source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,BIOMASS,1775.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,CCGT,2906.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,COAL,296.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,INTELEC,-1022.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,INTEW,-55.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,INTFR,-2043.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,INTIFA2,-962.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,INTIRL,15.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,INTNED,1002.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,INTNEM,68.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,INTNSL,1095.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,NPSHYD,340.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,NUCLEAR,4807.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,OCGT,1.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,OIL,0.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,OTHER,188.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,PS,-1051.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Sheffield Solar PVLive,2023-02-01T00:00:00Z,SOLAR,0.000,,2026-06-09T23:45:42.880646Z
Elexon BMRS FUELINST,2023-02-01T00:00:00Z,WIND,15760.000,2023-02-01T00:05:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,BIOMASS,1776.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,CCGT,3013.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,COAL,313.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,INTELEC,-1023.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,INTEW,-80.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,INTFR,-2056.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,INTIFA2,-1028.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,INTIRL,0.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,INTNED,1001.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,INTNEM,56.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,INTNSL,1095.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,NPSHYD,340.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,NUCLEAR,4801.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,OCGT,0.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,OIL,0.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,OTHER,215.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,PS,-895.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:05:00Z,WIND,15648.000,2023-02-01T00:10:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,BIOMASS,1807.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,CCGT,3068.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,COAL,319.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,INTELEC,-1023.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,INTEW,-84.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,INTFR,-2055.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,INTIFA2,-1027.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,INTIRL,0.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,INTNED,1001.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,INTNEM,56.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,INTNSL,1095.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,NPSHYD,340.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,NUCLEAR,4800.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,OCGT,0.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,OIL,0.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,OTHER,209.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,PS,-894.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:10:00Z,WIND,15545.000,2023-02-01T00:15:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,BIOMASS,1814.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,CCGT,3132.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,COAL,325.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,INTELEC,-1023.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,INTEW,-59.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,INTFR,-2056.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,INTIFA2,-1027.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,INTIRL,0.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,INTNED,1002.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,INTNEM,57.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,INTNSL,1095.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,NPSHYD,339.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,NUCLEAR,4804.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,OCGT,0.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,OIL,0.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,OTHER,157.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,PS,-901.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:15:00Z,WIND,15529.000,2023-02-01T00:20:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:20:00Z,BIOMASS,1814.000,2023-02-01T00:25:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:20:00Z,CCGT,3058.000,2023-02-01T00:25:00Z,2026-06-09T23:45:42.496170Z
Elexon BMRS FUELINST,2023-02-01T00:20:00Z,COAL,363.000,2023-02-01T00:25:00Z,2026-06-09T23:45:42.496170Z
