source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,BIOMASS,1723.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,CCGT,6904.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,COAL,0.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,INTELEC,-400.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,INTEW,-531.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,INTFR,-1279.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,INTGRNL,-514.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,INTIFA2,-652.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,INTIRL,-375.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,INTNED,649.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,INTNEM,-333.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,INTNSL,836.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,INTVKL,1323.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,NPSHYD,377.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,NUCLEAR,4098.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,OCGT,1.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,OIL,0.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,OTHER,253.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,PS,-459.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
Elexon BMRS FUELINST,2025-12-31T23:55:00Z,WIND,13704.000,2026-01-01T00:00:00Z,2026-06-07T01:25:42.324115Z
