source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,BIOMASS,1605.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,CCGT,4742.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,COAL,0.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,INTELEC,997.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,INTEW,0.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,INTFR,1508.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,INTGRNL,-514.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,INTIFA2,991.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,INTIRL,-451.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,INTNED,-471.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,INTNEM,161.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,INTNSL,1397.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,INTVKL,0.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,NPSHYD,299.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,NUCLEAR,2121.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,OCGT,1.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,OIL,0.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,OTHER,433.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,PS,284.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-22T23:55:00Z,WIND,9134.000,2026-05-23T00:00:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,BIOMASS,1604.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,CCGT,4628.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,COAL,0.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,INTELEC,998.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,INTEW,0.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,INTFR,1509.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,INTGRNL,-514.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,INTIFA2,991.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,INTIRL,-451.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,INTNED,-310.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,INTNEM,-56.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,INTNSL,1397.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,INTVKL,0.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:00:00Z,NPSHYD,258.000,2026-05-23T00:05:00Z,2026-06-06T23:14:18.520242Z
