time,technology,generationMW,source
2019-09-30T22:30:00Z,Biomass,1643.000,Elexon BMRS FUELHH
2019-09-30T22:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-09-30T22:30:00Z,Gas,4614.000,Elexon BMRS FUELHH
2019-09-30T22:30:00Z,Hydro,432.000,Elexon BMRS FUELHH
2019-09-30T22:30:00Z,Imports & Exports,2072.000,Elexon BMRS FUELHH
2019-09-30T22:30:00Z,Nuclear,6408.000,Elexon BMRS FUELHH
2019-09-30T22:30:00Z,Other,103.000,Elexon BMRS FUELHH
2019-09-30T22:30:00Z,Pumped Storage,-134.000,Elexon BMRS FUELHH
2019-09-30T22:30:00Z,Wind,7725.000,Elexon BMRS FUELHH
2019-09-30T23:00:00Z,Biomass,1635.000,Elexon BMRS FUELHH
2019-09-30T23:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-09-30T23:00:00Z,Gas,4503.000,Elexon BMRS FUELHH
2019-09-30T23:00:00Z,Hydro,411.000,Elexon BMRS FUELHH
2019-09-30T23:00:00Z,Imports & Exports,1052.000,Elexon BMRS FUELHH
2019-09-30T23:00:00Z,Nuclear,6339.000,Elexon BMRS FUELHH
2019-09-30T23:00:00Z,Other,101.000,Elexon BMRS FUELHH
2019-09-30T23:00:00Z,Pumped Storage,-142.000,Elexon BMRS FUELHH
2019-09-30T23:00:00Z,Wind,7933.000,Elexon BMRS FUELHH
2019-09-30T23:30:00Z,Biomass,1605.000,Elexon BMRS FUELHH
2019-09-30T23:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-09-30T23:30:00Z,Gas,3893.000,Elexon BMRS FUELHH
2019-09-30T23:30:00Z,Hydro,408.000,Elexon BMRS FUELHH
2019-09-30T23:30:00Z,Imports & Exports,1004.000,Elexon BMRS FUELHH
2019-09-30T23:30:00Z,Nuclear,6336.000,Elexon BMRS FUELHH
2019-09-30T23:30:00Z,Other,101.000,Elexon BMRS FUELHH
2019-09-30T23:30:00Z,Pumped Storage,-390.000,Elexon BMRS FUELHH
2019-09-30T23:30:00Z,Wind,8228.000,Elexon BMRS FUELHH
2019-10-01T00:00:00Z,Biomass,1502.000,Elexon BMRS FUELHH
2019-10-01T00:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-10-01T00:00:00Z,Gas,4460.000,Elexon BMRS FUELHH
2019-10-01T00:00:00Z,Hydro,400.000,Elexon BMRS FUELHH
2019-10-01T00:00:00Z,Imports & Exports,930.000,Elexon BMRS FUELHH
2019-10-01T00:00:00Z,Nuclear,6319.000,Elexon BMRS FUELHH
2019-10-01T00:00:00Z,Other,99.000,Elexon BMRS FUELHH
2019-10-01T00:00:00Z,Pumped Storage,-952.000,Elexon BMRS FUELHH
2019-10-01T00:00:00Z,Wind,7995.000,Elexon BMRS FUELHH
2019-10-01T00:30:00Z,Biomass,1508.000,Elexon BMRS FUELHH
2019-10-01T00:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-10-01T00:30:00Z,Gas,4723.000,Elexon BMRS FUELHH
2019-10-01T00:30:00Z,Hydro,398.000,Elexon BMRS FUELHH
2019-10-01T00:30:00Z,Imports & Exports,934.000,Elexon BMRS FUELHH
2019-10-01T00:30:00Z,Nuclear,6375.000,Elexon BMRS FUELHH
2019-10-01T00:30:00Z,Other,100.000,Elexon BMRS FUELHH
2019-10-01T00:30:00Z,Pumped Storage,-1140.000,Elexon BMRS FUELHH
2019-10-01T00:30:00Z,Wind,7972.000,Elexon BMRS FUELHH
2019-10-01T01:00:00Z,Biomass,1501.000,Elexon BMRS FUELHH
2019-10-01T01:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-10-01T01:00:00Z,Gas,4866.000,Elexon BMRS FUELHH
2019-10-01T01:00:00Z,Hydro,387.000,Elexon BMRS FUELHH
2019-10-01T01:00:00Z,Imports & Exports,686.000,Elexon BMRS FUELHH
2019-10-01T01:00:00Z,Nuclear,6474.000,Elexon BMRS FUELHH
2019-10-01T01:00:00Z,Other,102.000,Elexon BMRS FUELHH
2019-10-01T01:00:00Z,Pumped Storage,-1158.000,Elexon BMRS FUELHH
2019-10-01T01:00:00Z,Wind,7693.000,Elexon BMRS FUELHH
2019-10-01T01:30:00Z,Biomass,1496.000,Elexon BMRS FUELHH
2019-10-01T01:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-10-01T01:30:00Z,Gas,4856.000,Elexon BMRS FUELHH
2019-10-01T01:30:00Z,Hydro,386.000,Elexon BMRS FUELHH
2019-10-01T01:30:00Z,Imports & Exports,690.000,Elexon BMRS FUELHH
2019-10-01T01:30:00Z,Nuclear,6515.000,Elexon BMRS FUELHH
2019-10-01T01:30:00Z,Other,103.000,Elexon BMRS FUELHH
2019-10-01T01:30:00Z,Pumped Storage,-1224.000,Elexon BMRS FUELHH
2019-10-01T01:30:00Z,Wind,7382.000,Elexon BMRS FUELHH
2019-10-01T02:00:00Z,Biomass,1438.000,Elexon BMRS FUELHH
2019-10-01T02:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-10-01T02:00:00Z,Gas,4787.000,Elexon BMRS FUELHH
2019-10-01T02:00:00Z,Hydro,387.000,Elexon BMRS FUELHH
2019-10-01T02:00:00Z,Imports & Exports,750.000,Elexon BMRS FUELHH
2019-10-01T02:00:00Z,Nuclear,6552.000,Elexon BMRS FUELHH
2019-10-01T02:00:00Z,Other,104.000,Elexon BMRS FUELHH
2019-10-01T02:00:00Z,Pumped Storage,-1224.000,Elexon BMRS FUELHH
2019-10-01T02:00:00Z,Wind,7210.000,Elexon BMRS FUELHH
2019-10-01T02:30:00Z,Biomass,1419.000,Elexon BMRS FUELHH
2019-10-01T02:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-10-01T02:30:00Z,Gas,4654.000,Elexon BMRS FUELHH
2019-10-01T02:30:00Z,Hydro,388.000,Elexon BMRS FUELHH
2019-10-01T02:30:00Z,Imports & Exports,756.000,Elexon BMRS FUELHH
2019-10-01T02:30:00Z,Nuclear,6549.000,Elexon BMRS FUELHH
2019-10-01T02:30:00Z,Other,102.000,Elexon BMRS FUELHH
2019-10-01T02:30:00Z,Pumped Storage,-1220.000,Elexon BMRS FUELHH
2019-10-01T02:30:00Z,Wind,7224.000,Elexon BMRS FUELHH
2019-10-01T03:00:00Z,Biomass,1424.000,Elexon BMRS FUELHH
2019-10-01T03:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-10-01T03:00:00Z,Gas,5647.000,Elexon BMRS FUELHH
2019-10-01T03:00:00Z,Hydro,388.000,Elexon BMRS FUELHH
2019-10-01T03:00:00Z,Imports & Exports,-356.000,Elexon BMRS FUELHH
2019-10-01T03:00:00Z,Nuclear,6547.000,Elexon BMRS FUELHH
2019-10-01T03:00:00Z,Other,102.000,Elexon BMRS FUELHH
2019-10-01T03:00:00Z,Pumped Storage,-1182.000,Elexon BMRS FUELHH
2019-10-01T03:00:00Z,Wind,7424.000,Elexon BMRS FUELHH
2019-10-01T03:30:00Z,Biomass,1482.000,Elexon BMRS FUELHH
2019-10-01T03:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2019-10-01T03:30:00Z,Gas,6125.000,Elexon BMRS FUELHH
2019-10-01T03:30:00Z,Hydro,351.000,Elexon BMRS FUELHH
2019-10-01T03:30:00Z,Imports & Exports,-260.000,Elexon BMRS FUELHH
2019-10-01T03:30:00Z,Nuclear,6583.000,Elexon BMRS FUELHH
2019-10-01T03:30:00Z,Other,102.000,Elexon BMRS FUELHH
2019-10-01T03:30:00Z,Pumped Storage,-1188.000,Elexon BMRS FUELHH
2019-10-01T03:30:00Z,Wind,7071.000,Elexon BMRS FUELHH
2019-10-01T04:00:00Z,Biomass,1531.000,Elexon BMRS FUELHH
