"Energy use by industry, source and fuel, 1990-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK resident basis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,million tonnes of oil equivalent (Mtoe),
Subsection,Economic Sector,SourceName,ActivityName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
1,"Products of agriculture, hunting and related services",Agriculture - stationary combustion,Burning oil,0.068,0.078,0.078,0.082,0.083,0.094,0.110,0.115,0.123,0.176,0.190,0.225,0.187,0.186,0.212,0.217,0.224,0.207,0.206,0.160,0.145,0.131,0.122,0.150,0.199,0.123,0.146,0.139,0.143,0.141,0.138,0.132,0.126,0.144,
1,"Products of agriculture, hunting and related services",Agriculture - stationary combustion,Coal,0.014,0.013,0.008,0.009,0.009,0.009,0.009,0.005,0.006,0.005,0.005,0.003,0.004,0.004,0.005,0.006,0.003,0.003,0.003,[low],0.001,0.001,0.001,[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],
1,"Products of agriculture, hunting and related services",Agriculture - stationary combustion,Fuel oil,0.101,0.109,0.119,0.125,0.148,0.137,0.135,0.084,0.078,0.096,0.010,0.012,0.004,0.004,0.006,0.005,0.010,0.010,0.025,[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],
1,"Products of agriculture, hunting and related services",Agriculture - stationary combustion,Gas oil,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,[low],0.001,0.001,0.001,
1,"Products of agriculture, hunting and related services",Agriculture - stationary combustion,Natural gas,0.086,0.093,0.111,0.110,0.106,0.104,0.122,0.124,0.082,0.099,0.131,0.200,0.202,0.200,0.202,0.194,0.173,0.172,0.122,0.126,0.118,0.116,0.100,0.094,0.092,0.084,0.088,0.088,0.095,0.093,0.071,0.083,0.068,0.068,
51,Air transport services,Aircraft - international take off and landing,Aviation spirit,[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],
84 (not 84.22),Public administration; compulsory social security services,Aircraft - international take off and landing,Aviation spirit,[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],
86,Human health services,Aircraft - international take off and landing,Aviation spirit,[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],
101,Consumer expenditure - travel,Aircraft - international take off and landing,Aviation spirit,[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],[low],
51,Air transport services,Aircraft - international take off and landing,Aviation turbine fuel,0.555,0.527,0.577,0.641,0.618,0.669,0.705,0.743,0.834,0.904,0.993,0.974,0.959,1.001,1.046,1.126,1.139,1.156,1.059,1.018,0.999,1.007,0.967,0.991,0.979,0.990,1.020,1.153,1.136,1.018,0.407,0.399,0.812,0.864,
