Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),Share Community Scheme,CHP Enabled,CfD Allocation Round,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission  Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,Solar Site Area (sqm)
A0503,1019,01/09/2011,Low carbon Solar Partners,Manor Farm,Solar Photovoltaics,,,4.7,,,,,,,,,,Ground,Operational,Operational,,,"Manor Farm, Burngullow Lane, High Street, St Austell, Cornwall",Cornwall,South West,England,PL26 7TQ,198260,52426,Cornwall,PA11/00670,,,,,,02/02/2011,,,,,,,14/04/2011,,,,,,25/07/2011,,81900.0
A0504,1020,01/09/2011,Low carbon Solar Partners,Nanterrow Farm,Solar Photovoltaics,,,4.7,,,,,,,,,,Ground,Operational,Operational,,,"Churchtown Farm, Gwithian, Land South Of Nanterrow Cottage, Nanterrow Lane, Connor Downs, Cornwall",Cornwall,South West,England,,159822,40754,Cornwall,PA11/00751,,,,,,07/02/2011,,,,,,,14/04/2011,,,,,,25/07/2011,,106000.0
A0506,1021,08/07/2011,Low carbon Solar Partners,Howton Farm,Solar Photovoltaics,,,4.4,,,,,,,,,,Ground,Operational,Operational,,,Howton Farm Pillaton Saltash Cornwall,Cornwall,South West,England,PL12 6QY,238063,62770,Cornwall,PA11/00311,,,,,,14/01/2011,,,,,,,18/04/2011,,,,,,22/07/2011,,114000.0
A0507,1022,01/09/2011,Low carbon Solar Partners,East Langford Farm,Solar Photovoltaics,,,5.0,,,,,,,,,,Ground,Operational,Operational,,,East Langford Farm Kilkhampton Bude Cornwall,Cornwall,South West,England,EX22 7LB,229318,110657,Cornwall,PA11/01139,,,,,,12/02/2011,,,,,,,18/04/2011,,,,,,25/07/2011,,98500.0
A0512,1024,22/11/2012,Chester Energy (Eastcott),Chester Energy (East Woolley Farm),Solar Photovoltaics,,,5.0,,,,,,,,,,Ground,Operational,Operational,,,"Land East Of East Woolley Farm, Morwenstow, Bude, Cornwall",Cornwall,South West,England,EX23 9PP,225352,116729,Cornwall,PA10/08695,,,,,,17/12/2010,,,,,,,18/04/2011,,,,,,01/06/2012,,203000.0
A0521,1029,24/04/2012,Private Developer,Carlton Farm Solar farm,Solar Photovoltaics,,,5.0,,,,,,,,,,Ground,Operational,Operational,,,"Carlton Farm, Old Yarmouth Road, North Walsham, Norfolk, NR28 9NA.",Norfolk,Eastern,England,,629186,328437,North Norfolk,PF/11/0418,,,,,,07/04/2011,,,,,,,24/05/2011,,,,,,31/10/2011,,120000.0
AA232,1034,02/02/2017,Innogy (previously - Belectric (previously Alectron Investments Ltd)),Cantelupe Solar Farm,Solar Photovoltaics,,,5.0,,,,,,,,,,Ground,Operational,Operational,,,"Land to West of Cantelupe Road, Cantelupe Farm, Haslingfield, Cambridgeshire",Cambridgeshire,Eastern,England,,541469,254668,South Cambridgeshire,S/0154/11,,,,,,28/01/2011,,,,,,,27/04/2011,,,,,01/06/2012,28/02/2013,,170000.0
AA255,1039,24/08/2011,Terrence O'Rourke Ltd,Langage Solar Farm,Solar Photovoltaics,,,5.0,,,,,,,,,,Ground,Operational,Operational,,,"Land adjacent to Lower Langage Farm, Plympton, Plymouth",Devon,South West,England,PL7 5AW,257294,56289,South Hams,49/0277/11/F,,,,,,21/01/2011,,,,,,,31/03/2011,,,,,,15/07/2011,,192500.0
AA258,1040,07/08/2011,Lark Energy,Grange Solar Farm,Solar Photovoltaics,,,4.6,,,,,,,,,,Ground,Operational,Operational,,,"Land Off Cotham Road, Hawton, Nottingham, Nottinghamshire",Nottinghamshire,East Midlands,England,NG13,479603,348537,Newark and Sherwood,11/00333/FULM,,,,,,25/02/2011,,,,,,,25/05/2011,,,,,,13/07/2011,,146000.0
AA263,1041,26/04/2012,GKA Limited,Ebbsfleet Farm Solar Farm,Solar Photovoltaics,,,4.9,,,,,,,,,,Ground,Operational,Operational,,,"Ebbsfleet Lane, Ramsgate, CT12 5DL",Kent,South East,England,,633253,162715,Thanet,F/TH/11/0029,,,,,,31/01/2011,,,,,,,18/03/2011,,,,,,05/09/2011,,119700.0
