capturedAtUTC,priceTimeUTC,settlementDate,settlementPeriod,priceGBPperMWh,carbonGperKWh,carbonForecast,carbonIndex,source,priceHealth,carbonHealth
2026-05-25T20:40:56.403102Z,2026-05-25T17:30:00Z,2026-05-25,36,130.68,182,182,high,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-25T21:49:10.410746Z,2026-05-25T21:30:00Z,2026-05-25,44,122.58,177,176,high,Elexon BMRS Market Index Data,ok,ok
2026-05-25T22:44:44.006093Z,2026-05-25T22:30:00Z,2026-05-25,46,108.60,164,170,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-25T23:45:40.276550Z,2026-05-25T23:30:00Z,2026-05-25,48,108.28,165,169,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-26T05:39:46.664563Z,2026-05-26T01:00:00Z,2026-05-26,3,107.41,171,187,high,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-26T08:52:32.789659Z,2026-05-26T08:30:00Z,2026-05-26,18,123.61,149,168,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-26T23:00:08.048260Z,2026-05-26T22:30:00Z,2026-05-26,46,127.97,162,167,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-27T00:15:59.964315Z,2026-05-27T00:00:00Z,2026-05-27,1,104.56,143,151,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-27T00:57:40.861337Z,2026-05-27T00:30:00Z,2026-05-27,2,107.23,136,138,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-27T04:52:06.922715Z,2026-05-27T04:30:00Z,2026-05-27,10,118.32,138,128,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-27T08:33:13.267155Z,2026-05-27T08:00:00Z,2026-05-27,17,101.61,119,111,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-27T11:56:26.430674Z,2026-05-27T11:30:00Z,2026-05-27,24,88.48,59,60,low,Elexon BMRS Market Index Data,ok,ok
2026-05-27T15:35:29.485166Z,2026-05-27T15:00:00Z,2026-05-27,31,73.52,59,54,low,Elexon BMRS Market Index Data,ok,ok
2026-05-27T18:12:39.792193Z,2026-05-27T18:00:00Z,2026-05-27,37,115.00,125,106,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-28T08:02:58.869368Z,2026-05-28T07:30:00Z,2026-05-28,16,93.35,71,67,low,Elexon BMRS Market Index Data,ok,ok
2026-05-28T11:49:15.744927Z,2026-05-28T11:30:00Z,2026-05-28,24,14.45,51,45,low,Elexon BMRS Market Index Data,ok,ok
2026-05-28T14:57:27.144582Z,2026-05-28T14:30:00Z,2026-05-28,30,41.25,47,39,low,Elexon BMRS Market Index Data,ok,ok
2026-05-28T20:39:20.662733Z,2026-05-28T18:00:00Z,2026-05-28,37,109.35,124,118,moderate,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-28T22:21:41.658516Z,2026-05-28T22:00:00Z,2026-05-28,45,106.32,108,120,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-28T23:46:40.085589Z,2026-05-28T23:30:00Z,2026-05-28,48,105.81,84,98,low,Elexon BMRS Market Index Data,ok,ok
2026-05-29T01:48:52.856585Z,2026-05-29T01:30:00Z,2026-05-29,4,112.35,95,84,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-29T10:11:06.456422Z,2026-05-29T05:30:00Z,2026-05-29,12,110.96,87,82,low,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-29T13:33:47.878847Z,2026-05-29T13:00:00Z,2026-05-29,27,80.19,69,62,low,Elexon BMRS Market Index Data,ok,ok
2026-05-29T19:37:33.658107Z,2026-05-29T16:30:00Z,2026-05-29,34,95.76,187,189,high,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-29T21:27:07.187264Z,2026-05-29T21:00:00Z,2026-05-29,43,117.20,197,199,high,Elexon BMRS Market Index Data,ok,ok
2026-05-29T22:51:57.813958Z,2026-05-29T22:30:00Z,2026-05-29,46,110.96,171,189,high,Elexon BMRS Market Index Data,ok,ok
2026-05-30T00:02:00.149691Z,2026-05-29T23:30:00Z,2026-05-29,48,107.54,,164,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-30T04:13:01.575364Z,2026-05-30T04:00:00Z,2026-05-30,9,111.89,168,185,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-30T07:21:10.730089Z,2026-05-30T07:00:00Z,2026-05-30,15,110.04,148,159,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-30T09:27:30.863171Z,2026-05-30T09:00:00Z,2026-05-30,19,102.38,102,123,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-30T12:07:45.481152Z,2026-05-30T10:30:00Z,2026-05-30,22,92.37,81,74,low,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-30T14:03:15.083469Z,2026-05-30T13:30:00Z,2026-05-30,28,94.71,79,75,low,Elexon BMRS Market Index Data,ok,ok
2026-05-30T15:20:12.038743Z,2026-05-30T15:00:00Z,2026-05-30,31,108.22,82,82,low,Elexon BMRS Market Index Data,ok,ok
2026-05-30T17:39:48.028933Z,2026-05-30T16:00:00Z,2026-05-30,33,111.03,139,139,moderate,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-30T18:46:58.733009Z,2026-05-30T18:30:00Z,2026-05-30,38,121.30,167,158,moderate,Elexon BMRS Market Index Data,ok,ok
