date_utc,sample_count,avg_hz,min_hz,max_hz,samples_below_49_9,samples_above_50_1,largest_deviation_hz,data_health,last_updated_utc
2026-05-28,2,50.122,50.122,50.122,0,2,0.122,thin_sample,2026-05-30T04:28:59Z
2026-05-30,13,49.9788,49.881,49.987,1,0,0.119,thin_sample,2026-05-31T04:54:45Z
2026-05-31,13,50.106,50.106,50.106,0,13,0.106,thin_sample,2026-06-01T05:19:22Z
2026-06-01,6,49.978,49.978,49.978,0,0,0.022,thin_sample,2026-06-02T05:02:15Z
2026-06-02,6,50.041,50.041,50.041,0,0,0.041,thin_sample,2026-06-03T05:20:17Z
2026-06-03,7,49.9804,49.954,50.139,0,1,0.139,thin_sample,2026-06-04T05:11:51Z
2026-06-04,8,49.98,49.98,49.98,0,0,0.02,thin_sample,2026-06-05T04:49:38Z
2026-06-05,9,50.065,50.065,50.065,0,0,0.065,thin_sample,2026-06-06T04:30:42Z
2026-06-06,15,49.9047,49.886,50.166,14,1,0.166,thin_sample,2026-06-07T04:58:28Z
2026-06-07,12,49.951,49.951,49.951,0,0,0.049,thin_sample,2026-06-08T05:04:05Z
2026-06-08,7,50.054,50.054,50.054,0,0,0.054,thin_sample,2026-06-09T04:38:46Z
2026-06-09,9,50.106,50.106,50.106,0,9,0.106,thin_sample,2026-06-10T04:51:47Z
2026-06-10,7,50.131,50.131,50.131,0,7,0.131,thin_sample,2026-06-11T05:01:11Z
2026-06-11,9,50.1003,49.892,50.127,1,8,0.127,thin_sample,2026-06-12T05:08:49Z
2026-06-12,8,50.007,50.007,50.007,0,0,0.007,thin_sample,2026-06-13T04:54:37Z
2026-06-13,12,50.094,50.094,50.094,0,0,0.094,thin_sample,2026-06-14T05:11:33Z
2026-06-14,1,50.126,50.126,50.126,0,1,0.126,thin_sample,2026-06-14T05:11:33Z
2026-06-15,4,49.944,49.944,49.944,0,0,0.056,thin_sample,2026-06-16T05:37:17Z
2026-06-16,2,50.124,50.124,50.124,0,2,0.124,thin_sample,2026-06-16T05:37:17Z
